                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2927,                 3.2673,                 1.3903,                0.00468,                      1,                0.15593,                0.06739,                 1.5065,                 3.5891,                 1.7123,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.3344,                 3.0613,                  1.395,                0.00501,                      1,                0.19061,                0.11262,                 1.1994,                  3.338,                 1.4612,             0.00011139,             0.00011139,             0.00011139
                      3,                 1.2848,                 2.6524,                 1.3607,                0.00478,                      1,                0.31731,                0.18686,                 1.1081,                 3.0236,                 1.3748,             0.00017154,             0.00017154,             0.00017154
                      4,                 1.3056,                 2.4582,                 1.3899,                0.24087,                0.37489,                0.32473,                0.17859,                 1.0627,                 2.9995,                 1.3349,             0.00023045,             0.00023045,             0.00023045
                      5,                 1.2008,                 2.2562,                 1.2869,                0.79905,                0.14628,                0.35103,                0.21482,                 1.0901,                 2.8732,                 1.3614,             0.00028812,             0.00028812,             0.00028812
                      6,                 1.2103,                 2.2515,                 1.3149,                0.63874,                0.29638,                0.43607,                0.23031,                 1.1432,                 2.7034,                 1.3795,             0.00034456,             0.00034456,             0.00034456
                      7,                  1.238,                 2.2413,                 1.3665,                0.74008,                0.33621,                0.48192,                0.31868,                 1.0398,                 2.4957,                  1.317,             0.00039975,             0.00039975,             0.00039975
                      8,                 1.2222,                 2.0587,                 1.3218,                0.63099,                0.34457,                0.42857,                0.28945,                 1.1539,                 2.5094,                 1.3458,             0.00045372,             0.00045372,             0.00045372
                      9,                 1.1862,                 2.0262,                 1.2748,                0.63429,                0.29172,                0.49317,                0.29691,                 1.1885,                 2.6284,                  1.426,             0.00050644,             0.00050644,             0.00050644
                     10,                 1.1479,                 1.9178,                 1.2394,                0.77556,                0.38696,                0.47303,                0.28767,                 1.1752,                 2.3219,                   1.39,             0.00055793,             0.00055793,             0.00055793
                     11,                 1.1873,                 1.8417,                 1.2596,                0.89784,                    0.3,                0.43041,                 0.2627,                 1.1556,                 2.1523,                 1.3719,             0.00060818,             0.00060818,             0.00060818
                     12,                 1.1415,                 1.7974,                 1.2015,                0.65756,                0.54428,                0.66278,                0.42508,                 1.0955,                 2.0914,                 1.3352,             0.00065719,             0.00065719,             0.00065719
                     13,                 1.1368,                 1.7125,                 1.1804,                0.57782,                0.57327,                0.66174,                0.44184,                 1.0506,                 1.9556,                 1.3309,             0.00070496,             0.00070496,             0.00070496
                     14,                 1.0883,                 1.6958,                 1.2173,                0.67468,                0.57367,                0.71663,                 0.4374,                 1.1647,                 2.1793,                  1.521,              0.0007515,              0.0007515,              0.0007515
                     15,                 1.0944,                 1.6333,                 1.2228,                0.59097,                0.53878,                0.73311,                 0.5106,                 1.0175,                      2,                 1.2762,             0.00079679,             0.00079679,             0.00079679
                     16,                  1.085,                  1.668,                 1.1947,                0.62832,                0.81633,                 0.7751,                0.54639,                 1.0138,                 1.8656,                 1.2841,             0.00084086,             0.00084086,             0.00084086
                     17,                 1.1087,                 1.6574,                 1.2084,                 0.7383,                0.52353,                0.75164,                0.45022,                  1.184,                  2.097,                 1.5727,             0.00088368,             0.00088368,             0.00088368
                     18,                 1.1657,                 1.6216,                 1.2167,                0.25668,                0.59795,                0.55263,                0.30781,                 1.2165,                 2.2221,                 1.5535,             0.00092527,             0.00092527,             0.00092527
                     19,                  1.162,                 1.6028,                 1.2137,                0.33716,                0.54583,                 0.6093,                0.40668,                0.99917,                 2.3103,                 1.2958,             0.00096562,             0.00096562,             0.00096562
                     20,                 1.2028,                 1.6966,                 1.2476,                0.79587,                0.50638,                0.75098,                0.50671,                 1.0577,                 2.2495,                 1.2729,              0.0010047,              0.0010047,              0.0010047
                     21,                 1.1398,                  1.575,                 1.2029,                0.84293,                0.45782,                0.61196,                0.35652,                 1.3028,                 2.1943,                  1.505,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1137,                 1.5091,                 1.2139,                0.84812,                0.38851,                0.54771,                0.31209,                 1.3447,                 2.4685,                 1.6074,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.1249,                 1.5739,                 1.2399,                0.57656,                0.60841,                0.67243,                  0.417,                 1.2968,                 2.6752,                 1.5929,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.2182,                 1.6132,                 1.2892,                0.64381,                0.68056,                0.73889,                0.46682,                  1.164,                 3.4623,                 1.4962,             0.00097775,             0.00097775,             0.00097775
                     25,                 1.2264,                 1.6178,                 1.2834,                0.65067,                0.69662,                0.75519,                0.51544,                 1.1183,                 2.3838,                  1.443,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.1598,                 1.6353,                 1.2591,                0.73789,                0.70117,                 0.8472,                 0.5782,                 1.1012,                 1.8885,                 1.3367,               0.000953,               0.000953,               0.000953
                     27,                 1.1116,                 1.4658,                 1.2188,                0.83237,                0.71539,                0.90289,                0.63564,                  1.023,                 1.8934,                 1.2169,             0.00094062,             0.00094062,             0.00094062
                     28,                 1.1281,                 1.4824,                  1.199,                0.65355,                0.70652,                 0.7322,                0.50084,                 1.0761,                 2.9605,                 1.2802,             0.00092825,             0.00092825,             0.00092825
                     29,                 1.1196,                 1.4619,                 1.2116,                0.77088,                0.91619,                0.92913,                0.65067,                  1.038,                 1.4158,                  1.289,             0.00091588,             0.00091588,             0.00091588
                     30,                 1.0385,                 1.3401,                 1.1279,                0.89639,                0.89625,                0.92463,                0.64681,                 0.9772,                  1.327,                 1.2497,              0.0009035,              0.0009035,              0.0009035
                     31,                 1.0372,                 1.3385,                  1.143,                0.82723,                0.87971,                0.87835,                0.64647,                0.88781,                 1.3911,                 1.1771,             0.00089112,             0.00089112,             0.00089112
                     32,                 1.0729,                 1.4189,                 1.1572,                0.75882,                0.88748,                0.89384,                0.67401,                0.83316,                 1.3098,                 1.1223,             0.00087875,             0.00087875,             0.00087875
                     33,                 1.0589,                 1.2993,                 1.1574,                0.80088,                0.91552,                0.93308,                 0.7024,                0.83817,                  1.093,                 1.1089,             0.00086637,             0.00086637,             0.00086637
                     34,                  1.026,                 1.2368,                 1.1741,                0.95443,                0.95074,                0.97985,                 0.7579,                0.81765,                 1.0997,                 1.0959,               0.000854,               0.000854,               0.000854
                     35,                 0.9478,                 1.1665,                 1.1086,                0.90486,                0.93787,                0.97011,                0.72913,                0.82999,                 1.2704,                 1.1214,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.0428,                 1.2413,                 1.1327,                0.83744,                0.83891,                0.90137,                0.60196,                 1.0912,                 1.3302,                 1.3886,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.0072,                  1.222,                 1.1459,                0.85501,                0.92948,                0.96858,                0.66069,                 1.0964,                 1.3411,                 1.3043,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.0396,                 1.2197,                 1.1359,                0.91818,                0.94775,                0.98161,                0.70373,                 1.0084,                 1.2142,                 1.1807,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.1629,                 1.3463,                 1.2401,                0.97326,                0.98824,                0.99308,                0.75319,                 0.9847,                 1.0917,                  1.151,             0.00079213,             0.00079213,             0.00079213
                     40,                0.95281,                 1.1299,                 1.0948,                0.85986,                0.93895,                0.95289,                0.67133,                0.97981,                 1.1967,                 1.2244,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.0039,                 1.2028,                 1.1174,                0.89396,                0.94061,                0.95074,                0.68183,                0.84536,                 1.0991,                 1.1906,             0.00076738,             0.00076738,             0.00076738
                     42,                0.98609,                 1.2083,                 1.1567,                0.98425,                0.90734,                0.96978,                 0.7134,                0.80586,                 1.0539,                 1.1313,               0.000755,               0.000755,               0.000755
                     43,                 1.0471,                 1.2549,                 1.1539,                0.97228,                 0.8976,                0.97991,                0.74691,                0.80112,                 1.0123,                 1.0798,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.0031,                  1.117,                 1.1449,                0.91503,                0.89343,                0.95876,                0.76965,                0.77282,                 1.0846,                 1.0655,             0.00073025,             0.00073025,             0.00073025
                     45,                0.96275,                  1.087,                 1.1014,                0.92736,                0.87973,                0.95971,                0.77289,                0.76015,                 1.0414,                 1.0558,             0.00071788,             0.00071788,             0.00071788
                     46,                0.97023,                  1.101,                 1.1093,                0.94906,                0.92037,                0.98158,                0.78133,                0.78738,                0.92339,                 1.0662,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.0487,                 1.1664,                 1.1795,                0.93893,                0.98131,                0.97926,                0.76406,                0.82311,                0.97306,                 1.0994,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.0299,                 1.0296,                 1.1423,                0.86682,                0.92987,                0.96474,                0.71661,                0.86955,                 1.0657,                 1.1379,             0.00068075,             0.00068075,             0.00068075
                     49,                0.93273,                 1.0032,                 1.0885,                0.88054,                0.86129,                0.97214,                0.75575,                0.83356,                 1.0862,                 1.1004,             0.00066838,             0.00066838,             0.00066838
                     50,                0.92989,                  1.065,                 1.0599,                0.70299,                0.94693,                 0.9564,                0.74586,                0.86613,                 1.1577,                 1.0755,               0.000656,               0.000656,               0.000656
                     51,                0.95821,                 1.0613,                 1.1279,                0.76308,                0.90572,                 0.9622,                0.76137,                0.88048,                 1.1311,                 1.0652,             0.00064362,             0.00064362,             0.00064362
