                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88241,                   1.02,                 1.0885,                0.97964,                0.98885,                  0.995,                 0.8543,                0.64513,                0.81025,                0.97539,             0.00065091,             0.00065091,             0.00065091
                     36,                0.81998,                0.99864,                 1.0514,                0.97482,                0.96483,                  0.995,                 0.8631,                0.61579,                0.82663,                0.96768,             0.00062733,             0.00062733,             0.00062733
                     37,                0.84456,                0.97857,                 1.0862,                0.97258,                0.95396,                0.99484,                0.86425,                0.60404,                0.86098,                0.96537,             0.00060375,             0.00060375,             0.00060375
                     38,                0.84669,                0.99605,                 1.0464,                0.97096,                0.96593,                0.99468,                0.86763,                0.58966,                0.86071,                 0.9579,             0.00058017,             0.00058017,             0.00058017
                     39,                0.95561,                  1.087,                  1.167,                0.97066,                0.96741,                0.99453,                0.87527,                0.58386,                0.84068,                0.95366,              0.0005566,              0.0005566,              0.0005566
                     40,                0.75352,                0.89663,                 1.0519,                0.97464,                0.99216,                  0.995,                0.88934,                0.56309,                0.79269,                0.94073,             0.00053302,             0.00053302,             0.00053302
                     41,                0.81695,                 0.9566,                 1.0561,                0.97993,                0.99195,                  0.995,                0.89352,                0.55202,                0.76309,                0.92994,             0.00050944,             0.00050944,             0.00050944
                     42,                0.77453,                 0.9698,                 1.0806,                0.98755,                0.99306,                  0.995,                0.89197,                0.54351,                0.73675,                0.92399,             0.00048586,             0.00048586,             0.00048586
                     43,                 0.9108,                 1.0201,                 1.1054,                0.99421,                0.99628,                  0.995,                0.88712,                0.54053,                0.72327,                0.92018,             0.00046228,             0.00046228,             0.00046228
                     44,                0.79385,                0.87445,                 1.0598,                0.99606,                0.99468,                  0.995,                0.89411,                0.54127,                0.73156,                0.91781,              0.0004387,              0.0004387,              0.0004387
                     45,                0.76895,                0.88747,                  1.033,                0.99539,                0.99514,                  0.995,                0.88826,                0.54278,                0.72609,                 0.9183,             0.00041512,             0.00041512,             0.00041512
                     46,                0.86594,                 0.9079,                 1.0573,                0.99548,                0.99506,                  0.995,                0.88433,                0.55317,                0.72633,                0.92326,             0.00039155,             0.00039155,             0.00039155
                     47,                0.84706,                0.95605,                 1.0904,                0.99615,                0.99401,                  0.995,                 0.8802,                0.56826,                0.72489,                 0.9294,             0.00036797,             0.00036797,             0.00036797
                     48,                0.84267,                0.86613,                 1.0686,                0.99299,                 0.9961,                  0.995,                0.88057,                0.57002,                 0.7143,                 0.9286,             0.00034439,             0.00034439,             0.00034439
                     49,                0.75792,                0.85424,                 1.0327,                0.99304,                0.99898,                  0.995,                0.88074,                0.53932,                0.70377,                0.91646,             0.00032081,             0.00032081,             0.00032081
                     50,                0.83809,                0.92219,                 1.0584,                0.99318,                      1,                  0.995,                0.88257,                0.52555,                0.69733,                0.91176,             0.00029723,             0.00029723,             0.00029723
                     51,                0.72796,                 1.4654,                 1.0688,                0.99369,                      1,                  0.995,                 0.8843,                 0.5094,                0.69087,                0.90679,             0.00027365,             0.00027365,             0.00027365
                     52,                0.66717,                 1.3934,                 1.0582,                0.99137,                0.99879,                  0.995,                0.88298,                0.52452,                0.69979,                0.91042,             0.00025007,             0.00025007,             0.00025007
                     53,                 0.6458,                 1.2318,                 1.0324,                0.98857,                0.99649,                  0.995,                0.88195,                0.55157,                 0.7172,                0.92163,              0.0002265,              0.0002265,              0.0002265
                     54,                0.65749,                 1.1784,                 1.0051,                0.98296,                0.99484,                  0.995,                0.87788,                0.56933,                 0.7393,                0.92837,             0.00020292,             0.00020292,             0.00020292
                     55,                 0.6271,                 1.1297,                 1.0296,                0.96781,                0.99558,                  0.995,                0.88034,                0.58155,                0.76416,                0.93246,             0.00017934,             0.00017934,             0.00017934
                     56,                0.60729,                 1.1727,                0.99719,                0.97799,                0.97557,                  0.995,                0.87397,                0.58798,                0.81054,                0.93296,             0.00015576,             0.00015576,             0.00015576
                     57,                0.67285,                  1.303,                  1.005,                0.97845,                0.97531,                  0.995,                0.87311,                0.57426,                0.81924,                0.92364,             0.00013218,             0.00013218,             0.00013218
                     58,                0.64174,                 1.2373,                 1.0276,                0.98112,                0.97584,                  0.995,                0.87603,                0.55752,                0.81199,                 0.9113,              0.0001086,              0.0001086,              0.0001086
                     59,                0.57699,                 1.1905,                0.98672,                0.98576,                0.97636,                  0.995,                0.87659,                 0.5384,                0.79152,                0.89903,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     60,                0.64562,                 1.2524,                 1.0167,                0.97411,                0.99669,                  0.995,                0.88062,                0.52272,                0.74868,                0.88558,             6.1447e-05,             6.1447e-05,             6.1447e-05
